,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,위도,경도,동
152,58,127,1793,2404,50,33,0,1,37.6587711,127.078,중계4동
153,44,97,2535,3288,29,30,2,1,37.6462176,127.0816372,중계본동
154,77,135,2725,3509,67,36,2,0,37.6584915,127.0646714,하계1동
155,59,109,1942,2559,63,27,0,1,37.6319755,127.06795095,하계2동
156,55,180,2501,2777,53,48,0,0,37.6755559,127.0436147,도봉1동
157,134,204,3248,3928,81,58,2,0,37.6696587,127.0465179,도봉2동
158,85,174,3728,3832,76,59,2,0,37.6641126,127.04052,방학1동
159,52,156,2251,2651,62,51,0,0,37.66307,127.02764,방학2동
160,94,120,2329,3057,75,34,0,0,37.65915755,127.0280225451754,방학3동
161,84,132,2707,2967,65,44,0,0,37.647923,127.025877,쌍문1동
162,76,123,2372,2716,64,52,0,0,37.6580005,127.038856,쌍문2동
163,57,93,2448,2462,56,29,0,1,37.6479673,127.0293845,쌍문3동
164,49,82,1872,2374,48,41,0,1,37.66307,127.02764,쌍문4동
165,104,142,2911,3427,72,41,2,0,37.6585558,127.0346127,창1동
166,134,145,3403,3856,101,55,2,0,37.6416389,127.0363754,창2동
167,39,100,1607,1925,40,34,0,1,37.6395232,127.0428137,창3동
168,132,136,2691,3389,80,30,2,0,37.65223684999999,127.0516348581459,창4동
169,123,133,2827,3321,90,35,2,0,37.6563472,127.043619,창5동
170,239,111,4321,4275,138,42,2,2,37.563476,127.0582719,답십리1동
171,203,153,3015,3736,113,34,2,0,37.5674043,127.0613008,답십리2동
172,131,192,6633,5762,172,63,1,2,37.5758133,127.0372885264926,용신동
173,42,102,3344,3417,44,19,2,1,37.5910468,127.0673671,이문1동
174,87,109,2150,2487,51,24,0,1,37.6038427,127.0664774,이문2동
175,207,191,5083,5251,163,72,1,2,37.567825,127.066442,장안1동
176,213,149,3782,4239,100,73,2,2,37.5784903,127.0705968,장안2동
177,154,185,3720,4279,139,58,2,2,37.5779625,127.0481235,전농1동
178,81,122,1584,2056,41,23,0,1,37.5699527,127.0488074,전농2동
179,100,208,3772,3800,79,31,2,0,37.583117,127.0378458,제기동
180,56,173,2058,2747,49,46,0,0,37.5862577,127.0472758,청량리동
181,28,50,2576,2423,34,10,0,1,37.5907782,127.0553568843636,회기동
182,76,66,3048,2661,46,18,0,1,37.5933701,127.0685208,휘경1동
183,85,100,3869,3898,59,42,2,0,37.5840067,127.0681085,휘경2동
184,174,169,5978,6099,127,35,1,2,37.5123107,126.9420168,노량진1동
185,34,88,2455,4176,35,18,2,1,37.5083919,126.9373633521789,노량진2동
186,138,171,5306,5985,139,46,1,2,37.5092532,126.9284117,대방동
187,108,79,4857,5014,149,44,2,0,37.4828484,126.9792285,사당1동
188,188,125,5018,4265,132,37,2,2,37.4918913,126.9766919,사당2동
189,165,115,3358,3929,89,26,2,0,37.4867741,126.9713152,사당3동
190,86,54,2336,2574,66,19,0,1,37.4807808,126.9689749,사당4동
191,107,57,1958,2199,103,21,0,1,37.4856628,126.9669792,사당5동
192,183,196,7057,7950,164,46,1,2,37.5011882,126.9536242,상도1동
193,186,104,6402,6072,93,29,1,2,37.50545095,126.9423061007496,상도2동
194,130,139,3707,4054,108,39,2,0,37.4991155,126.9313674112912,상도3동
195,166,139,4226,4493,96,48,2,0,37.4998253,126.9388527,상도4동
196,104,101,2747,3192,90,29,2,0,37.4881887,126.9101357,신대방1동
197,108,75,4734,3632,68,21,2,0,37.499102,126.9260285,신대방2동
198,167,158,4118,4677,109,35,2,0,37.5058049,126.9666400153883,흑석동
199,168,192,5581,6271,158,54,1,2,37.5501763,126.9600556,공덕동
200,63,65,3448,3246,75,16,2,1,37.5553084,126.9425782,대흥동
201,157,108,2766,3161,110,31,2,0,37.5401656,126.9478744,도화동
