,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,cluster_sub,cluster_uni,대학 수 ,위도,경도,동
0,17,29,829,937,12,13,0,0,0,0,0,37.481054,127.0537081,개포1동
1,152,57,9853,4191,61,28,1,1,1,2,2,37.4897742,127.0691197,개포2동
2,91,57,4408,3308,91,41,2,1,2,2,1,37.4789985,127.0516566,개포4동
3,93,81,5141,5967,112,45,1,1,1,2,2,37.5115546,127.0284464,논현1동
4,102,76,4171,4824,87,40,2,1,1,2,2,37.5173754,127.0371963,논현2동
5,33,41,2965,3610,27,16,2,0,0,0,0,37.4932911,127.0568027,대치1동
6,80,91,6859,7825,51,38,1,1,1,2,2,37.5023067,127.0642127,대치2동
7,63,50,4592,5101,53,31,2,1,2,2,1,37.5000976,127.0579215,대치4동
8,112,80,2929,3583,68,15,2,0,0,0,0,37.4894218,127.0383343,도곡1동
9,148,91,3883,4652,63,35,2,1,2,2,1,37.486423,127.045433,도곡2동
10,73,45,1956,2392,43,26,0,0,0,0,0,37.51434254999999,127.0625466314373,삼성1동
11,164,99,5861,5404,100,53,1,2,1,1,2,37.5111921,127.0459885,삼성2동
12,251,186,5417,6506,160,68,1,2,1,1,2,37.46913105,127.1069304712163,세곡동
13,93,147,1802,2137,88,28,0,1,2,2,1,37.4824493,127.0780991,수서동
14,57,84,2158,2711,57,17,0,0,0,0,0,37.5239801,127.0228273479811,신사동
15,75,112,4645,4753,84,37,2,1,2,2,1,37.4854189,126.9181169,신사동
16,141,108,3332,4130,59,36,2,1,2,2,1,37.5316035,127.0299449,압구정동
17,123,101,10578,10648,204,88,1,2,1,1,2,37.495394,127.033108,역삼1동
18,147,94,6092,6470,81,34,1,2,1,1,2,37.4960586,127.046966,역삼2동
19,56,98,1967,2498,65,22,0,0,0,0,0,37.4920557,127.087615,일원1동
20,114,91,3111,3248,80,22,2,1,2,2,1,37.48774935,127.07083865,일원2동
21,104,66,2524,3191,53,20,0,0,0,0,0,37.48336815,127.0864944,일원본동
22,142,95,3654,4773,65,21,2,1,2,2,1,37.5263605,127.0537937,청담동
23,112,158,8494,3277,84,59,1,2,1,1,2,37.5649416,127.1739152,강일동
24,147,73,3187,4865,73,30,2,1,2,2,1,37.5563074,127.1488895,고덕1동
25,170,65,3677,4061,71,29,2,1,2,2,1,37.5605039,127.1643845,고덕2동
26,209,210,6781,7559,216,72,1,2,1,1,2,37.5392251,127.1462154,길동
27,1,1,1,11,19,2,0,0,0,0,0,37.5230921,127.136944,둔촌1동
28,148,121,2990,4584,82,29,2,1,2,2,1,37.5319657,127.142521,둔촌2동
29,204,103,3917,4453,130,31,2,1,1,2,2,37.5497586,127.14599905,명일1동
30,39,42,2815,2723,32,15,0,0,0,0,0,37.5480751,127.1300518,명일2동
31,229,85,12333,4712,98,37,1,2,1,1,2,37.5518119,127.1652728,상일동
32,126,78,2879,3240,67,28,2,1,2,2,1,37.52893,127.12503,성내1동
33,132,118,3860,4521,99,47,2,1,2,2,1,37.5329049,127.1268052,성내2동
34,123,93,3639,3892,79,29,2,1,2,2,1,37.525568,127.1317124,성내3동
35,186,172,4722,5437,173,90,2,2,1,1,2,37.55127,127.1311585,암사1동
36,152,49,2196,2428,75,22,0,0,0,0,0,37.552662,127.1273471,암사2동
37,94,55,1997,2437,46,13,0,0,0,0,0,37.554982,127.1408239022984,암사3동
38,130,169,3845,4482,197,75,2,2,1,1,2,37.5427264,127.1373558,천호1동
39,175,175,5310,6557,234,72,1,2,1,1,2,37.5385448,127.1234736,천호2동
40,158,134,5240,5205,117,49,1,2,1,1,2,37.5395191,127.1293281,천호3동
41,58,137,3202,3711,64,46,2,1,2,2,1,37.6270848,127.0270683,미아동
42,61,119,2796,3293,69,47,2,1,2,2,1,37.6378469,127.0288300282459,번1동
43,54,121,1533,1949,45,22,0,0,0,0,0,37.62518,127.04868,번2동
44,51,165,1396,1933,45,33,0,0,2,0,1,37.6251367,127.0448336,번3동
45,147,108,2959,3374,60,29,2,1,2,2,1,37.61629165,127.0184242812736,삼각산동
46,107,170,2699,3377,80,45,2,1,2,2,1,37.6273418,127.0183872,삼양동
47,129,165,3499,4115,94,64,2,1,2,2,1,37.6161293,127.0337833,송중동
48,61,182,3055,3791,61,57,2,1,2,2,1,37.6183081,127.0238655,송천동
49,85,158,2843,3186,66,48,2,1,2,2,1,37.61622,127.02204,수유1동
50,76,145,2602,2673,55,45,0,1,2,2,1,37.62518,127.04868,수유2동
51,49,138,3904,4212,87,55,2,1,2,2,1,37.6456937,127.0233309,수유3동
52,75,143,2950,2999,79,53,2,1,2,2,1,37.6479732,127.0115593,우이동
53,96,217,3619,4348,86,83,2,2,1,1,2,37.6414795,127.0106302,인수동
54,202,98,8104,8180,232,40,1,2,1,1,2,37.56946595,126.8447031597579,가양1동
55,68,173,1873,2213,67,28,0,1,2,2,1,37.5652368,126.8535763,가양2동
56,163,121,1795,2215,139,24,0,1,2,2,1,37.5652368,126.8535763,가양3동
57,199,131,8731,4702,138,62,1,2,1,1,2,37.5578196,126.8119134,공항동
58,179,93,4925,4867,210,48,2,2,1,1,2,37.5546086,126.8592392,등촌1동
59,123,74,2541,3319,78,37,2,1,2,2,1,37.5515234,126.864002,등촌2동
60,191,258,3485,4273,137,44,2,2,1,1,2,37.5588691,126.847941,등촌3동
61,170,133,3795,4734,92,54,2,1,1,2,2,37.5531474,126.8333072,발산1동
62,213,165,5316,6586,150,64,1,2,1,1,2,37.5674988,126.812119,방화1동
63,114,136,4165,3651,104,47,2,1,2,2,1,37.5667208,126.8067563,방화2동
64,129,170,2709,3241,98,46,2,1,2,2,1,37.57874435,126.8135407771909,방화3동
65,329,97,5099,5513,198,39,1,2,1,1,2,37.5534373,126.8712245,염창동
66,200,165,4643,5326,101,52,2,2,1,1,2,37.5483601,126.8417581,우장산동
67,352,208,9008,9428,476,140,1,2,1,1,2,37.5304841,126.8415804,화곡1동
68,100,74,2433,2904,60,32,0,0,0,0,0,37.5328386,126.8549885,화곡2동
69,93,109,3201,3310,53,25,2,1,2,2,1,37.5425305,126.8384344828297,화곡3동
70,91,94,2412,2902,54,43,0,1,2,2,1,37.5333278,126.8612649,화곡4동
71,110,123,4124,4091,79,38,2,1,2,2,1,37.5420589,126.842453,화곡6동
72,134,103,3484,4190,84,38,2,1,2,2,1,37.5332362,126.8472185,화곡8동
73,185,169,5426,5723,119,72,1,2,1,1,2,37.5440294,126.8477100611912,화곡본동
74,41,59,4559,4649,80,19,2,1,0,2,0,37.47627505,126.9584078,낙성대동
75,117,162,2965,3610,78,54,2,1,2,2,1,37.4709304,126.9216413,난곡동
76,68,89,1531,1811,34,24,0,0,0,0,0,37.4615331,126.9187322,난향동
77,107,74,3901,4151,119,33,2,1,2,2,1,37.4742961,126.9774189,남현동
78,79,89,5684,5855,101,36,1,1,2,2,1,37.4708216,126.9383512,대학동
79,108,140,3560,4143,82,54,2,1,2,2,1,37.4761893,126.9155584,미성동
80,94,143,4141,4095,163,40,2,1,2,2,1,37.4821788,126.950987,보라매동
81,64,161,1678,3207,55,37,0,1,2,2,1,37.4595058,126.9276122,삼성동
