,동,1인가구,etc,합계,비율,,,,,,,,,,,,,
304,월계2동,3531,7854,11385,31.01449275,,,,,,,,,,,,,
305,월계3동,3359,8906,12265,27.38687322,,,,,,,,,,,,,
306,월곡1동,2454,7535,9989,24.56702373,,,,,,,,,,,,,
307,월곡2동,3767,5195,8962,42.03302834,,,,,,,,,,,,,
308,위례동,1037,8004,9041,11.46997014,,,,,,,,,,,,,
309,은천동,5723,9114,14837,38.5724877,,,,,,,,,,,,,
310,을지로동,781,330,1111,70.2970297,,,,,,,,,,,,,
311,응봉동,1053,4444,5497,19.15590322,,,,,,,,,,,,,
312,응암1동,3771,7374,11145,33.83580081,,,,,,,,,,,,,
313,응암2동,2171,7950,10121,21.45044956,,,,,,,,,,,,,
314,응암3동,4431,6858,11289,39.25059793,,,,,,,,,,,,,
315,이문1동,5774,4160,9934,58.12361586,,,,,,,,,,,,,
316,이문2동,2503,5670,8173,30.62522941,,,,,,,,,,,,,
317,이촌1동,1212,7763,8975,13.50417827,,,,,,,,,,,,,
318,이촌2동,803,2495,3298,24.34808975,,,,,,,,,,,,,
319,이태원1동,1479,1622,3101,47.69429216,,,,,,,,,,,,,
320,이태원2동,1874,2270,4144,45.22200772,,,,,,,,,,,,,
321,이화동,2094,1789,3883,53.92737574,,,,,,,,,,,,,
322,인수동,3937,8857,12794,30.77223699,,,,,,,,,,,,,
323,인헌동,6776,6410,13186,51.38783558,,,,,,,,,,,,,
324,일원1동,2631,4158,6789,38.75386655,,,,,,,,,,,,,
325,일원2동,1927,4945,6872,28.04132712,,,,,,,,,,,,,
326,일원본동,923,6563,7486,12.32968207,,,,,,,,,,,,,
327,자양1동,4616,5879,10495,43.98284898,,,,,,,,,,,,,
328,자양2동,3098,7065,10163,30.48312506,,,,,,,,,,,,,
329,자양3동,2131,7913,10044,21.21664675,,,,,,,,,,,,,
330,자양4동,3751,4574,8325,45.05705706,,,,,,,,,,,,,
331,잠실2동,1160,9838,10998,10.54737225,,,,,,,,,,,,,
332,잠실3동,1116,10070,11186,9.97675666,,,,,,,,,,,,,
333,잠실4동,669,6097,6766,9.887673662,,,,,,,,,,,,,
334,잠실6동,577,4869,5446,10.59493206,,,,,,,,,,,,,
335,잠실7동,302,2854,3156,9.569074778,,,,,,,,,,,,,
336,잠실본동,6559,7291,13850,47.35740072,,,,,,,,,,,,,
337,잠원동,2809,7543,10352,27.13485317,,,,,,,,,,,,,
338,장안1동,5502,10429,15931,34.53643839,,,,,,,,,,,,,
339,장안2동,3212,9151,12363,25.98074901,,,,,,,,,,,,,
340,장위1동,2487,5569,8056,30.8714002,,,,,,,,,,,,,
341,장위2동,2030,3840,5870,34.58262351,,,,,,,,,,,,,
342,장위3동,1839,4920,6759,27.20816689,,,,,,,,,,,,,
343,장지동,2747,8661,11408,24.07959327,,,,,,,,,,,,,
344,장충동,1509,1119,2628,57.42009132,,,,,,,,,,,,,
345,전농1동,5814,7770,13584,42.80035336,,,,,,,,,,,,,
346,전농2동,1691,5472,7163,23.60742706,,,,,,,,,,,,,
347,정릉1동,1819,5232,7051,25.79775918,,,,,,,,,,,,,
348,정릉2동,2284,6673,8957,25.49960924,,,,,,,,,,,,,
349,정릉3동,3255,3933,7188,45.28380634,,,,,,,,,,,,,
350,정릉4동,2659,7206,9865,26.95387734,,,,,,,,,,,,,
351,제기동,5399,6263,11662,46.29566112,,,,,,,,,,,,,
352,조원동,5581,3956,9537,58.51945056,,,,,,,,,,,,,
353,종로1.2.3.4가동,2371,1261,3632,65.280837,,,,,,,,,,,,,
354,종로5·6가동,1608,1084,2692,59.73254086,,,,,,,,,,,,,
