,출생비_k,사망비_k,혼인비_k,이혼비_k,전입_s,전출_s,동,cluster_rate
238,0.005868089,0.004073715,0.005722599,0.001842871,0.21688714,0.373219081,서초1동,2
239,0.00456225,0.00207375,0.004185205,0.000867205,2.935138892,0.171896959,서초2동,0
240,0.004784984,0.003581021,0.005309789,0.001234835,1.614654558,1.382394302,서초3동,0
241,0.005150271,0.003194472,0.001825412,0.00088011,0.242462837,0.495038199,서초4동,2
242,0.005672534,0.003991783,0.003898408,0.001167188,1.055881187,1.972896449,양재1동,0
243,0.006093929,0.00416953,0.005727377,0.002199313,0.187975483,0.395018291,양재2동,2
244,0.005810684,0.003223993,0.002286785,0.000862231,0.038413257,0.807920987,잠원동,0
245,0.009921291,0.004365368,0.004233084,0.001455123,-0.955146956,-0.987308124,금호1가동,1
246,0.007953692,0.004816402,0.005346648,0.001546551,-0.446412991,-0.334614112,금호2.3가동,2
247,0.008955433,0.004967467,0.00405793,0.001539215,-0.845616255,-0.912293193,금호4가동,1
248,0.005139665,0.004513966,0.004290503,0.001608939,-0.242363412,-0.168555419,마장동,2
249,0.003399105,0.003399105,0.003564915,0.00132648,-0.167860296,-0.364107161,사근동,2
250,0.006608864,0.004971806,0.005032438,0.001818953,-0.121712843,-0.29486261,성수1가1동,2
251,0.005292278,0.003608371,0.003688557,0.001122604,-0.858960097,-0.699430313,성수1가2동,1
252,0.004529506,0.007272727,0.004976077,0.001913876,-0.67659426,-0.553247371,성수2가1동,1
253,0.00532362,0.004016064,0.004483048,0.001961334,-0.826712479,-0.850101328,성수2가3동,1
254,0.003817158,0.005248592,0.00458059,0.002099437,-1.053557788,-1.278391701,송정동,1
255,0.009455809,0.004631416,0.005326129,0.001312235,0.08289273,0.292433771,옥수동,2
256,0.009696896,0.005244862,0.004452034,0.001524669,-0.657690485,-0.634673835,왕십리2동,1
257,0.007474237,0.004680835,0.004152354,0.001585444,0.264702573,0.465545149,왕십리도선동,2
258,0.002852697,0.007261411,0.004149378,0.002593361,-0.704949924,-0.965508914,용답동,2
259,0.006144192,0.003725734,0.002876005,0.001634094,-0.931239239,-1.008466182,응봉동,1
260,0.007110537,0.004309416,0.003663004,0.001939237,-0.661026445,-0.855230554,행당1동,1
261,0.006902502,0.004529767,0.005306299,0.000992235,-0.592083263,-0.405782123,행당2동,1
262,0.005404169,0.003345438,0.002430446,0.00065765,0.03229733,0.381554073,길음1동,2
263,0.006199148,0.003341728,0.002954281,0.001452925,-0.463092793,-0.53529508,길음2동,1
264,0.00488241,0.004676111,0.003575849,0.001512859,-1.001294408,-1.001413496,돈암1동,1
265,0.004805058,0.004004215,0.002866175,0.001264489,-0.626554854,-0.441686705,돈암2동,1
266,0.003032454,0.004064778,0.003613136,0.001548487,0.061208987,-0.073664737,동선동,2
267,0.005321911,0.005451713,0.003894081,0.001817238,-0.586523329,-0.670578417,보문동,1
268,0.002972288,0.005813445,0.003409389,0.001879535,-0.081125325,0.046230921,삼선동,2
269,0.004631615,0.00660434,0.004116991,0.001515281,0.594406661,0.778427937,석관동,0
270,0.00430277,0.006363251,0.00430277,0.000909036,-0.530923989,-0.627621149,성북동,1
271,0.002435172,0.004409635,0.003159142,0.001777017,0.043973191,-0.110851626,안암동,2
272,0.005264162,0.004768262,0.002822811,0.001678428,-0.449748952,-0.469256295,월곡1동,1
273,0.003859216,0.005814552,0.003704847,0.001749511,-0.294626792,-0.280757238,월곡2동,2
274,0.002898071,0.00534073,0.003436284,0.001614639,1.89265126,-0.703277233,장위1동,2
275,0.002993356,0.007300869,0.004745565,0.001168139,-0.783900987,-1.118744541,장위2동,1
276,0.009462721,0.005842754,0.003492951,0.002349803,-0.569843527,0.043025155,장위3동,1
277,0.004971826,0.003922219,0.003590763,0.001602033,-0.574291474,-0.576328888,정릉1동,1
278,0.005191746,0.005671655,0.003402993,0.001570612,-0.378581796,-0.401935203,정릉2동,2
279,0.004387976,0.006549217,0.00451896,0.001309843,-0.565951573,-0.61800385,정릉3동,1
280,0.005415235,0.006021418,0.002909679,0.001858961,-0.397485572,-0.292297997,정릉4동,2
281,0.004906287,0.005814859,0.002985307,0.001323919,0.407036884,0.681613796,종암동,2
282,0.011884798,0.002406125,0.00419249,0.001239519,1.372797427,1.894675752,가락1동,0
283,0.005697199,0.002990242,0.003399433,0.001133144,0.480428013,0.900888208,가락2동,0
284,0.007335151,0.003264334,0.00468528,0.001459349,0.343097643,0.777786784,가락본동,0
285,0.003876908,0.00371537,0.004280753,0.002019223,-0.928459272,-0.981537745,거여1동,1
286,0.004179682,0.003783712,0.003827709,0.001627876,-0.564283593,-0.552606218,거여2동,1
287,0.002665529,0.008103209,0.002132423,0.002612219,-0.682710188,-0.562223517,마천1동,1
