,,동,1인가구,etc,합계,1인가구비율
317,용산구,이촌1동,1212,7763,8975,0.135041783
318,용산구,이촌2동,803,2495,3298,0.243480898
319,용산구,이태원1동,1479,1622,3101,0.476942922
320,용산구,이태원2동,1874,2270,4144,0.452220077
321,종로구,이화동,2094,1789,3883,0.539273757
322,강북구,인수동,3937,8857,12794,0.30772237
323,관악구,인헌동,6776,6410,13186,0.513878356
324,강남구,일원1동,2631,4158,6789,0.387538666
325,강남구,일원2동,1927,4945,6872,0.280413271
326,강남구,일원본동,923,6563,7486,0.123296821
327,광진구,자양1동,4616,5879,10495,0.43982849
328,광진구,자양2동,3098,7065,10163,0.304831251
329,광진구,자양3동,2131,7913,10044,0.212166468
330,광진구,자양4동,3751,4574,8325,0.450570571
331,송파구,잠실2동,1160,9838,10998,0.105473723
332,송파구,잠실3동,1116,10070,11186,0.099767567
333,송파구,잠실4동,669,6097,6766,0.098876737
334,송파구,잠실6동,577,4869,5446,0.105949321
335,송파구,잠실7동,302,2854,3156,0.095690748
336,송파구,잠실본동,6559,7291,13850,0.473574007
337,서초구,잠원동,2809,7543,10352,0.271348532
338,동대문구,장안1동,5502,10429,15931,0.345364384
339,동대문구,장안2동,3212,9151,12363,0.25980749
340,성북구,장위1동,2487,5569,8056,0.308714002
341,성북구,장위2동,2030,3840,5870,0.345826235
342,성북구,장위3동,1839,4920,6759,0.272081669
343,송파구,장지동,2747,8661,11408,0.240795933
344,중구,장충동,1509,1119,2628,0.574200913
345,동대문구,전농1동,5814,7770,13584,0.428003534
346,동대문구,전농2동,1691,5472,7163,0.236074271
347,성북구,정릉1동,1819,5232,7051,0.257977592
348,성북구,정릉2동,2284,6673,8957,0.254996092
349,성북구,정릉3동,3255,3933,7188,0.452838063
350,성북구,정릉4동,2659,7206,9865,0.269538773
351,동대문구,제기동,5399,6263,11662,0.462956611
352,관악구,조원동,5581,3956,9537,0.585194506
353,종로구,종로1.2.3.4가동,2371,1261,3632,0.65280837
354,종로구,종로5.6가동,1608,1084,2692,0.597325409
355,성북구,종암동,5568,10700,16268,0.342267027
356,노원구,중계1동,1070,7572,8642,0.123813932
357,노원구,중계2.3동,4119,10240,14359,0.286858416
358,노원구,중계4동,2081,5784,7865,0.264589956
359,노원구,중계본동,1105,6764,7869,0.14042445
360,광진구,중곡1동,3282,4063,7345,0.446834581
361,광진구,중곡2동,3780,5835,9615,0.393135725
362,광진구,중곡3동,3144,4407,7551,0.416368693
363,광진구,중곡4동,3747,8183,11930,0.314082146
364,중구,중림동,1627,3349,4976,0.326969453
365,관악구,중앙동,5565,3317,8882,0.626548075
366,중랑구,중화1동,2353,5764,8117,0.289885426
367,중랑구,중화2동,5455,6727,12182,0.447791824
368,은평구,증산동,1736,4430,6166,0.281543951
369,은평구,진관동,4742,15247,19989,0.237230477
370,도봉구,창1동,2919,7184,10103,0.288924082
371,도봉구,창2동,2889,8529,11418,0.253021545
372,도봉구,창3동,1901,4018,5919,0.321169116
373,도봉구,창4동,2256,7728,9984,0.225961539
374,도봉구,창5동,2347,7207,9554,0.24565627
375,종로구,창신1동,1069,1269,2338,0.4572284
376,종로구,창신2동,1288,2196,3484,0.369690012
377,종로구,창신3동,613,1982,2595,0.236223507
378,서대문구,천연동,2388,4798,7186,0.332312831
379,강동구,천호1동,3749,7652,11401,0.328830804
380,강동구,천호2동,6378,9323,15701,0.406216165
381,강동구,천호3동,5205,7107,12312,0.422758285
382,중구,청구동,1924,3840,5764,0.333795975
383,강남구,청담동,3203,7051,10254,0.312365906
384,동대문구,청량리동,3236,5416,8652,0.374017568
385,관악구,청룡동,13435,7304,20739,0.647813299
386,관악구,청림동,1403,4525,5928,0.236673414
387,종로구,청운효자동,1378,3281,4659,0.295771625
388,용산구,청파동,5218,4611,9829,0.530878014
389,서대문구,충현동,3880,5228,9108,0.425999122
390,종로구,평창동,1302,4963,6265,0.207821229
391,송파구,풍납1동,1869,3907,5776,0.323580332
392,송파구,풍납2동,2880,6927,9807,0.293667788
393,중구,필동,1020,883,1903,0.535995796
394,노원구,하계1동,3265,7351,10616,0.307554635
395,노원구,하계2동,1481,6443,7924,0.186900555
396,용산구,한강로동,3755,5030,8785,0.427433125
397,용산구,한남동,4154,5281,9435,0.44027557
398,마포구,합정동,3699,4581,8280,0.44673913
399,구로구,항동,1358,4630,5988,0.226786907
400,성동구,행당1동,1930,3818,5748,0.335768963
401,성동구,행당2동,1764,6983,8747,0.201669144
402,관악구,행운동,9674,6716,16390,0.59023795
403,종로구,혜화동,4925,3880,8805,0.559341283
404,서대문구,홍은1동,2538,6329,8867,0.286229841
405,서대문구,홍은2동,3769,7408,11177,0.337210343
406,서대문구,홍제1동,2736,6805,9541,0.286762394
407,서대문구,홍제2동,1443,4050,5493,0.262697979
408,서대문구,홍제3동,2027,4436,6463,0.313631441
409,강서구,화곡1동,10238,14196,24434,0.419006303
410,강서구,화곡2동,2322,5230,7552,0.30746822
411,강서구,화곡3동,2282,6096,8378,0.272380043
412,강서구,화곡4동,2969,5942,8911,0.333183706
413,강서구,화곡6동,4182,6611,10793,0.387473362
414,강서구,화곡8동,3346,7293,10639,0.314503243
415,강서구,화곡본동,5647,9423,15070,0.374717983
416,광진구,화양동,12704,3917,16621,0.764334276
417,중구,황학동,2963,3250,6213,0.476903267
418,동대문구,회기동,4044,2284,6328,0.639064475
419,중구,회현동,867,1141,2008,0.431772908
420,용산구,효창동,1082,2840,3922,0.275879653
421,용산구,후암동,2800,4483,7283,0.384456955
422,동대문구,휘경1동,3336,3307,6643,0.502182749
423,동대문구,휘경2동,4785,6130,10915,0.43838754
424,동작구,흑석동,4562,8849,13411,0.340168518
