,상호명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
32825,굽네치킨,음식,닭/오리요리,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로 143-1,126.97048278675,37.5322554735905
32923,이화,음식,유흥주점,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 보광로60길 20,126.995205312248,37.5339010796103
32944,땡스피자,음식,패스트푸드,서울특별시,용산구,한남동,한남동,서울특별시 용산구 독서당로 39,127.007139617405,37.5315421585561
32999,로지커피,음식,커피점/카페,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 백범로87길 48-5,126.969390159073,37.5393011284425
33081,한일정육점식당,음식,한식,서울특별시,용산구,보광동,보광동,서울특별시 용산구 보광로 13,127.001095076006,37.5258055675968
33391,고려식당,음식,한식,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 백범로87길 20,126.968338799046,37.5384089238415
33458,이자카야나고미,음식,유흥주점,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로64길 26,126.969895543695,37.5198339268084
33693,일미부대찌개스테이크,음식,한식,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로54길 13,126.967745695892,37.5206891726811
33802,용산수림식당,음식,한식,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로 58-1,126.965095541269,37.52581996862
33832,르번미동부이촌점,음식,별식/퓨전요리,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로77길 19,126.974876251724,37.520426902219
33841,북카페자유다,음식,커피점/카페,서울특별시,용산구,서빙고동,서빙고동,서울특별시 용산구 서빙고로 279,126.994638811377,37.5204706355103
33871,오근내닭갈비,음식,닭/오리요리,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 이촌로29길 15,126.959694592764,37.5245110518172
33891,마고타로,음식,커피점/카페,서울특별시,용산구,보광동,보광동,서울특별시 용산구 장문로45바길 3,127.000639640196,37.5294149205299
34061,행운수산,음식,일식/수산물,서울특별시,용산구,효창동,효창동,서울특별시 용산구 백범로 313,126.962963885014,37.5392358564137
34094,마음을담은죽,음식,별식/퓨전요리,서울특별시,용산구,용문동,도원동,서울특별시 용산구 새창로 70,126.9549275206,37.5385973487808
34352,소마1095,음식,분식,서울특별시,용산구,청파동,청파동3가,서울특별시 용산구 청파로47길 49,126.967552234172,37.5445742034565
34412,신대감천년손두부,음식,한식,서울특별시,용산구,청파동,청파동3가,서울특별시 용산구 청파로 261,126.970447404743,37.5430586968029
34476,박가네포차,음식,유흥주점,서울특별시,용산구,보광동,보광동,서울특별시 용산구 우사단로2길 11,126.997363731829,37.5307207049441
34604,한남,음식,커피점/카페,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남대로 130,127.004414436273,37.5399350030916
34677,픽미픽미아이스,음식,패스트푸드,서울특별시,용산구,용문동,도원동,서울특별시 용산구 새창로 70,126.9549275206,37.5385973487808
